,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Arab World,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Cyprus,Czechia,Germany,Djibouti,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",Morocco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Syrian Arab Republic,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkiye,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",Virgin Islands (U.S.),Viet Nam,Vanuatu,World,Samoa,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1991,7.801596969,7.946,4.158534905,16.468,10.304,11.79943452,1.645,5.44,1.6,9.586,3.42,0.9,3.168,6.984,1.639,2.468,2.2,11.1,1.13,12.17,17.55,0.6,9.64,2.927,6.896,22.308,4.7,1.374,13.82,5.561,10.316,9.522447075,1.818,5.651,5.23,2.37,6.597,8.933,3.213,19.858,10.12,4.834,13.539,5.37,14.96923085,8.31,3.0,2.27,5.316,27.078,9.099,6.878,20.6,2.408217301,5.857400243,2.463156452,4.402810918,6.909804635,4.332,9.38,8.325353605,5.329,15.929,1.468,3.259,8.59654111,4.470200908,6.503,4.633,9.134,17.22,8.55,2.7,3.489,4.519,9.561,3.066,7.285,7.572,2.675,3.509,12.046,6.682520035,1.8,4.58,5.085239158,11.14,7.327,8.5,4.745196078,4.628402693,4.05844976,2.971189907,2.617,4.527961904,6.85,15.771,11.1,8.714,2.548,13.387,10.097,6.281,21.311,2.059,0.9,2.788,1.0,0.761,2.407,0.888,6.033075401,2.485,8.61,2.68,18.69,16.528,6.323088625,4.467543081,4.728973334,14.661,5.605817831,4.429571434,15.449,3.664443269,1.1,1.482,2.7,3.01,13.59,1.9,6.14,0.795,11.32176327,3.145,4.408668504,24.5,1.317,6.357,0.878,11.88151387,29.933,5.687,2.825,9.888,9.541,4.876,3.694,7.163851279,19.14,18.05,1.578,3.741,8.054,7.285,5.407,10.539,10.614,6.784702299,4.148,7.639656286,0.586,6.451,4.961,3.77,2.839,13.635,5.387531794,16.18,2.394,3.919,5.1,10.55,3.848368612,6.302192207,11.718,0.87,8.244,5.133,12.304,6.022874643,7.29,14.899,2.86,2.18,1.976,4.056,7.53,19.037,13.348,6.4125394,12.203,6.4125394,8.394937076,14.417,17.085,12.154,7.08,3.243,20.57,6.75,0.669,2.408410201,5.941258389,4.045,2.63,1.9,1.4,6.196778158,3.329,11.89063331,1.35,6.022874643,6.4125394,18.52,15.977,8.21,3.6,3.404,1.9,3.715175406,8.95,6.8,1.9,19.77,9.45,11.989,2.162,8.009,4.995725436,2.1,8.17,20.105,18.9,4.796
1992,7.896982015,7.94,4.27788522,16.621,30.007,12.03588051,1.73,6.36,1.8,10.733,3.59,1.8,3.141,6.702,1.51,2.505,2.253,15.3,1.042,14.81,18.481,3.1,9.657,3.028,7.086,22.94,4.772,1.381,16.331,5.672,11.197,10.13399859,2.344,6.1,4.35,2.37,6.7,9.012,3.312,19.866,9.44,4.55,13.459,3.93,15.47220431,8.786,2.09,2.6,6.323,26.931,9.027,6.671,24.38,2.377182532,5.926805237,2.455835076,5.183176578,7.509449512,4.291,8.92,8.952894617,5.483,17.697,3.681,3.382,9.250455894,4.424608596,11.595,4.657,10.203,17.701,9.772,5.4,4.7,4.549,9.681,3.13,7.487,8.927,2.631,3.837,11.9,7.183415862,1.96,3.06,5.195909076,10.934,7.405,9.942,4.796614602,4.681187261,4.123386336,3.055419229,2.734,4.585733965,6.853,15.021,10.659,8.434,4.305,14.08,9.321,6.438,19.93,2.158,1.0,2.893,1.1,0.746,2.513,0.879,6.130639321,2.702,8.268,2.747,18.92,16.544,6.311370483,4.529463876,4.799333331,14.22,5.621858462,4.48904517,15.405,3.671252038,1.2,2.029,6.6,2.197,13.85,3.7,6.251,0.796,11.45905861,3.235,4.467173121,26.3,1.408,6.353,0.826,12.04751198,30.128,5.866,2.996,9.954,9.473,5.036,3.71,7.876543669,18.922,18.642,1.56,3.705,7.941,5.555,5.91,10.547,10.667,7.272922737,4.258,8.189084765,0.583,6.298,5.098,3.882,2.651,13.645,5.438477996,16.93,2.427,3.985,4.98,10.304,3.85040624,6.919113959,11.85,0.87,8.26,5.181,12.118,6.016663687,7.2,14.971,2.919,3.09,1.864,4.248,7.88,19.247,13.447,6.516258915,12.267,6.516258915,8.878224056,14.576,17.28,12.206,7.823,5.722,20.961,6.955,0.66,2.376503319,6.382204504,4.189,1.35,2.1,1.5,6.168113913,3.292,12.05957767,1.351,6.016663687,6.516258915,19.66,15.647,8.509,3.68,3.498,1.9,3.79214497,8.96,7.5,2.9,19.541,7.69,12.271,2.128,7.982,5.149447208,2.438,8.114,20.369,19.544,4.933
1993,7.898075948,7.961,4.376871131,17.074,25.251,12.81229075,1.915,10.1,5.3,10.879,4.25,4.5,3.112,8.078,1.494,2.432,2.32,16.4,0.943,12.72,19.422,8.5,9.78,3.049,6.03,24.54,4.87,1.394,18.762,5.735,11.377,11.52508424,3.551,7.069,4.49,2.69,5.868,9.118,3.39,19.933,7.8,4.597,13.327,3.95,15.05994672,9.28,2.7,4.349,7.675,27.509,10.719,6.305,26.23,2.628215302,6.111081439,2.71328404,5.927091754,8.671274581,4.367,10.92,10.71803871,5.554,22.156,6.544,3.236,10.8445043,4.443463818,16.201,4.71,11.321,17.78,10.346,5.4,5.238,4.527,9.727,3.179,7.639,10.177,2.593,5.527,11.668,7.770130221,1.96,3.097,5.199135601,10.709,7.582,12.098,5.02181426,4.884290329,4.227871673,3.313559383,2.782,4.621898648,6.859,15.571,10.574,8.442,5.257,12.741,10.212,6.284,19.7,2.539,1.11,2.97,1.223,0.734,2.878,0.8,5.934546546,2.727,8.275,2.7,19.102,16.8,6.083938522,4.55557924,4.805029787,13.82,5.746226609,4.677476811,15.531,3.884741142,13.8,2.33,16.7,2.057,14.076,3.7,6.3,0.792,12.11150945,3.365,4.668397478,27.7,1.342,6.349,0.801,12.85207667,30.401,5.861,2.872,9.757,9.529,4.967,4.11,7.353956572,19.096,18.82,1.532,3.92,7.96,6.287,5.965,10.56,9.804,7.765047539,4.106,8.990858579,0.588,6.348,4.828,3.897,2.422,14.393,5.496866708,16.91,2.53,5.301,5.06,10.407,3.910751949,7.516099025,11.899,0.87,8.24,5.883,12.167,6.027877238,7.075,14.803,2.872,3.07,1.842,4.27,9.94,19.208,13.555,6.554162587,12.102,6.554162587,9.397320462,14.413,15.64,12.2,8.51,9.33,21.715,7.4,0.7,2.629560269,7.072969783,4.47,1.49,6.2,1.5,5.924192936,3.257,12.86927809,1.3,6.027877238,6.554162587,19.81,15.986,8.962,3.881,3.445,2.0,4.030463591,8.35,6.9,4.9,19.66,6.6,12.446,2.051,8.326,5.419713934,2.686,8.338,20.295,19.7,4.993
1994,7.76885901,7.98,4.399825335,17.105,20.835,12.92442334,1.841,11.76,6.6,9.724,3.535,6.3,3.133,9.645,1.455,2.58,2.381,12.8,1.08,13.83,20.251,12.8,11.1,3.08,6.578,22.98,4.964,1.391,21.2,5.757,10.395,11.36998721,3.58,7.231,5.87,2.9,5.045,8.854,3.345,20.179,8.25,4.593,13.021,4.05,14.69750161,8.811,2.7,4.284,8.727,27.422,8.036,6.267,27.74,2.925165085,6.380162853,2.982302321,7.195386287,9.661396315,4.373,10.93,11.766224,5.598,24.209,7.561,3.1,11.51880658,4.547271052,16.426,4.623,12.593,17.805,9.648,8.4,5.895,4.481,9.862,3.203,7.745,9.808,2.576,7.6,11.598,8.032392133,1.9,3.136,5.142767708,10.332,7.97,10.847,5.408867752,5.209489145,4.268604853,3.500648488,4.366,4.599176066,6.828,14.544,10.449,8.298,5.326,9.934,11.086,6.388,16.915,2.89,7.54,2.947,1.34,0.99,2.476,0.7,6.48346379,2.631,8.364,2.664,19.411,17.0,6.692844669,4.533847177,4.78098882,13.03,5.748935868,4.930279009,15.587,4.289867871,13.8,3.48,18.7,2.48,13.917,5.8,6.09,0.791,12.09805284,4.436,4.940969246,30.0,1.444,6.346,0.771,12.95210025,30.366,5.709,2.856,9.873,9.531,5.333,3.64,6.549545443,19.4,18.956,1.493,3.959,7.773,7.159,5.349,10.552,8.354,7.8359976,4.17,9.146616269,0.591,6.439,4.526,3.796,2.454,14.825,5.458228175,14.6,2.639,6.709,4.41,10.183,3.88316156,7.507898881,12.103,0.87,8.17,8.131,12.287,5.996313272,6.88,14.923,2.932,3.03,1.816,4.316,7.68,19.686,13.509,6.484041431,12.224,6.484041431,9.443098622,14.376,12.7,13.654,8.24,9.58,21.704,7.5,0.711,2.929081009,8.42878416,4.184,1.347,8.8,4.7,6.581641971,3.278,12.97191364,1.708,5.996313272,6.484041431,18.44,16.038,8.577,3.847,3.424,2.0,4.458516004,9.04,6.119,7.3,19.958,8.56,12.247,1.98,8.145,5.671507982,2.995,8.34,20.073,18.645,4.96
1995,7.533565842,7.967,4.390341746,16.711,14.607,13.4168306,1.8,18.8,6.7,8.473,4.353,7.2,3.088,9.337,1.307,2.532,2.446,11.1,1.117,10.83,21.063,17.7,12.48,2.665,7.092,19.66,5.059,1.392,21.395,5.709,9.489,10.84359329,3.094,6.978,4.7,3.0,4.1,8.585,3.233,20.146,8.72,4.709,12.977,5.18,13.04414216,8.27,2.6,4.083,8.158,27.607,6.992,6.431,31.84,3.008000205,6.741715022,3.055784867,8.632693859,9.942247417,4.372,11.04,11.44894091,5.464,22.675,9.659,3.021,11.08299228,5.052622628,17.005,4.674,11.834,17.414,8.694,7.6,6.479,4.437,9.983,3.168,7.787,10.117,2.573,7.9,11.622,7.829071559,3.22,3.24,4.965521621,9.995,7.56,10.168,5.76399986,5.492008601,4.218554725,3.579501303,4.611,4.49233404,6.99,11.97,9.895,8.488,5.196,8.782,11.661,6.378,14.6,3.15,10.98,2.847,1.435,0.974,2.063,0.694,7.816621071,2.6,8.456,2.588,19.483,15.83,7.927875698,4.438627906,4.681437678,12.27,5.820980413,5.194963018,15.771,4.460173908,17.54,2.918,19.0,3.581,14.089,5.3,6.078,0.79,12.39518263,7.095,5.232054276,35.6,1.394,6.342,0.757,13.3668279,30.178,5.5,2.755,9.674,9.59,4.884,3.15,6.034042833,21.319,18.635,1.486,4.041,7.491,7.158,6.307,10.565,6.461,7.604870336,4.262,9.478377921,0.596,6.51,4.737,3.71,2.633,13.695,5.329341452,13.93,2.659,7.064,3.4,10.379,3.958822383,7.379967229,12.05,0.87,8.01,9.449,12.094,6.122413348,6.44,14.931,2.84,3.3,1.849,4.21,7.65,19.477,13.4,6.334918981,12.238,6.334918981,9.41418112,14.323,8.39,13.109,7.15,8.897,21.65,7.2,0.751,3.012776698,9.40659578,3.986,1.1,10.3,8.3,7.876596951,3.3,13.38866637,2.007,6.122413348,6.334918981,17.22,16.36,7.644,3.659,3.197,5.62,4.875769311,10.02,5.65,7.8,19.984,10.24,11.811,1.959,8.198,5.824528829,3.239,8.987,19.799,16.825,5.573
1996,7.446310256,7.941,4.339946864,16.013,13.928,12.38872872,1.836,17.11,9.3,8.509,5.291,8.1,3.095,9.483,1.25,2.448,2.51,12.5,1.254,11.46,21.84,24.4,13.82,2.375,8.035,14.71,5.142,1.392,21.593,5.676,9.62,10.19087946,3.684,6.906,7.414,3.12,4.04,8.06,3.117,19.995,11.81,4.813,12.945,6.16,12.90190482,7.61,3.1,3.852,8.822,27.461,6.844,6.48,28.315,3.112816246,6.676757901,3.164054083,10.06663757,10.28050667,4.387,9.0,11.66065584,5.394,22.142,9.915,3.137,11.11129308,5.342802069,15.572,4.649,12.367,17.354,8.189,11.5,7.084,4.461,10.036,3.063,7.84,10.402,2.623,8.283,11.602,7.823286354,2.83,4.37,4.93476462,9.68,7.319,10.022,5.891487772,5.604004294,4.274686676,3.744164803,4.861,4.504004413,7.147,11.692,9.1,8.559,3.6,8.455,11.864,6.675,13.7,3.383,12.96,2.777,1.512,0.963,2.048,0.7,8.061814721,2.453,8.444,2.371,19.322,16.33,8.308102092,4.412829428,4.715299647,11.35,5.843348339,5.310120171,15.681,4.648746101,16.4,3.286,20.7,4.249,13.434,7.9,6.082,1.023,11.3297658,5.465,5.353360267,38.8,1.35,6.339,0.762,12.20818947,29.837,5.533,2.752,9.673,9.502,4.929,2.52,5.86615396,22.837,18.64,1.49,3.944,7.164,6.421,5.036,10.56,6.29,7.549963901,4.345,9.502236653,0.591,6.525,4.95,3.637,2.751,12.684,5.212745538,13.64,2.693,7.298,8.15,10.494,3.99313563,7.555423838,12.015,0.87,6.74,9.665,11.696,6.229621516,5.845,14.902,2.826,3.57,1.88,4.21,7.68,19.394,13.2,6.258940363,12.217,6.258940363,9.406529815,14.319,10.88,11.341,6.886,9.547,22.076,7.225,0.701,3.118547832,9.996930381,3.624,1.071,13.4,10.3,8.284437766,3.315,12.22107372,2.414,6.229621516,6.258940363,16.25,16.07,6.629,3.466,3.182,7.65,5.051956516,11.93,5.451,10.7,20.328,11.77,11.699,1.93,8.153,5.910728516,3.51,9.588,19.643,15.3,6.161
1997,7.406223582,7.92,4.323777965,15.928,16.872,11.9261892,1.908,14.82,10.8,8.367,5.157,9.1,3.147,8.95,1.102,2.414,2.699,13.7,1.196,9.76,22.727,17.1,12.68,2.08,9.003,14.61,5.254,1.395,21.041,5.633,9.101,9.200136388,4.127,6.696,7.136,3.23,3.965,7.86,3.14,19.862,12.14,4.584,13.102,5.68,12.71928489,7.1,3.4,4.674,9.861,27.446,5.4,6.314,25.43,3.20398298,6.615971152,3.2523003,10.24147169,10.5198532,4.389,8.37,11.66201611,5.494,20.698,10.369,3.245,10.90090997,5.455889811,14.968,4.741,12.566,17.201,7.072,11.5,7.637,4.423,9.866,3.03,7.881,10.472,2.608,9.67,11.62,7.820112888,2.22,3.32,4.871844222,9.71,6.968,8.991,6.025819804,5.709612327,4.26086072,3.733290377,4.684,4.491169232,7.335,10.192,9.69,8.319,3.72,9.751,11.985,6.758,13.737,3.374,13.01,2.819,1.577,0.638,2.608,0.7,7.933142687,2.36,8.62,2.176,19.439,20.47,8.145987597,4.410345797,4.743980087,10.6,5.967090526,5.378864879,15.796,4.908127088,14.13,2.527,14.9,3.261,14.04,7.9,5.963,1.257,11.10382551,4.235,5.425137602,36.0,1.34,6.335,0.765,11.94828425,29.844,5.611,2.7,9.694,9.383,4.69,2.45,5.407211368,24.45,18.382,1.496,3.873,7.132,5.511,4.687,10.596,6.857,7.254453795,4.278,9.61660136,0.596,6.423,4.784,3.618,2.87,10.964,5.115432941,13.8,2.782,6.571,5.36,10.515,4.12679889,7.359820567,11.945,0.87,5.515,11.813,11.31,6.375866919,5.322,14.577,2.76,2.5,2.003,4.251,7.98,19.033,13.8,6.224942894,11.909,6.224942894,9.470392018,14.404,10.56,11.894,6.658,10.359,22.5,7.314,0.732,3.209744551,10.63853293,3.636,0.873,13.9,11.0,8.128948104,3.346,11.95914101,2.864,6.375866919,6.224942894,15.01,15.94,6.841,3.336,3.222,8.93,5.087665338,11.44,5.0,10.9,20.106,11.16,11.465,2.87,8.287,5.95410201,3.775,10.224,19.679,13.305,6.93
1998,7.438246713,7.941,4.343833045,16.148,20.042,11.87927252,2.071,12.65,9.4,7.684,5.493,10.0,3.191,9.323,1.051,2.44,2.891,12.2,1.179,7.65,23.633,14.0,14.31,2.122,10.15,12.4,5.368,1.4,20.86,5.602,8.279,9.016728652,3.568,6.289,7.307,3.24,4.1,7.696,3.169,19.88,15.0,4.636,13.146,5.33,12.28597479,6.23,3.3,6.455,9.787,27.269,5.039,6.295,26.855,3.370853618,6.796142445,3.541737279,11.17791466,10.70402053,4.35,8.03,11.24246087,5.589,18.673,9.51,3.489,10.49130198,5.721195764,13.215,4.758,12.074,17.184,6.198,14.53,8.2,4.461,9.784,3.416,7.933,12.227,2.608,7.74,11.718,7.901976088,4.58,4.02,4.936198869,11.392,7.159,8.925,6.283253344,5.936177706,4.360142308,3.880954939,5.459,4.569274017,7.517,7.699,10.367,8.126,3.069,10.749,12.117,6.915,13.832,4.078,13.13,2.841,1.666,0.712,6.963,0.7,8.332655433,2.303,8.565,2.038,19.271,21.6,8.486151657,4.492583474,4.856837174,9.17,6.051884324,5.586477093,15.887,5.167802512,13.711,2.763,14.454,4.607,13.411,10.0,5.896,1.491,11.21868155,3.733,5.639884969,34.5,1.269,6.331,0.772,12.09023816,29.936,5.751,2.646,9.863,9.26,4.915,3.2,4.886111986,23.083,18.619,1.378,3.836,7.232,4.394,3.737,10.608,7.718,7.224640028,4.342,9.450068141,0.6,6.297,5.11,3.712,2.871,9.935,5.097866675,13.46,2.974,4.64,4.417,10.433,4.226376648,7.393523292,11.853,0.87,5.63,13.261,11.438,6.520643687,4.769,14.603,2.751,3.41,2.136,4.159,7.1,18.947,13.7,6.251156063,11.939,6.251156063,9.285678766,14.393,10.63,12.421,7.4,8.941,23.204,7.382,0.727,3.376243981,11.49157611,3.789,3.404,16.5,12.2,8.502367728,3.408,12.10263759,3.36,6.520643687,6.251156063,14.21,15.476,6.888,3.279,3.418,11.32,5.379903984,9.362,4.511,13.3,20.503,11.15,11.247,2.29,8.285,6.125421496,4.123,10.83,19.821,12.0,6.385
1999,7.479567296,7.953,4.554082597,16.392,20.835,12.04937986,2.197,14.05,11.2,6.876,4.707,10.9,3.146,8.649,0.951,2.55,3.082,14.1,1.174,7.45,24.572,12.8,12.84,2.3,11.125,10.61,5.46,1.4,18.231,5.593,7.583,10.41708659,3.053,5.919,11.158,3.25,4.421,7.596,3.206,20.096,20.06,4.558,13.161,5.9,12.09372369,6.26,5.532,8.702,8.854,26.955,5.142,6.305,28.545,3.46352455,7.070439227,3.649299824,11.54316646,10.60302453,4.642,7.95,10.49013254,5.683,15.475,11.573,3.714,10.19369364,5.972761102,11.693,4.709,11.981,17.599,6.042,13.8,10.1,4.488,9.643,3.558,8.002,12.138,2.566,13.95,11.785,7.785917745,6.25,3.85,5.08317105,13.559,7.2,6.929,6.564900923,6.181397457,4.449514276,3.878639536,6.358,4.699783684,7.682,5.804,11.176,8.042,2.178,11.183,11.681,6.875,13.759,4.677,13.46,2.877,1.768,0.727,6.342,0.7,9.090097737,2.165,8.735,2.021,19.306,18.09,9.429317792,4.593169357,4.974040895,8.88,6.17958375,5.789677396,16.145,5.410896312,13.388,2.39,13.79,6.348,13.94,11.14,5.82,1.728,11.54176766,2.598,5.849767957,32.4,1.287,6.328,0.762,12.47462478,30.191,5.84,2.675,9.912,9.275,4.993,3.43,4.554962503,21.67,18.292,1.383,3.898,7.197,3.623,3.247,10.624,7.023,7.172166837,4.417,10.10065009,0.602,6.285,5.02,3.758,2.943,12.29,5.140699218,11.81,3.166,4.579,5.343,10.351,4.266431926,7.111901293,11.745,0.87,6.239,13.036,11.711,6.662048904,4.346,14.651,2.665,4.85,2.17,4.198,7.3,18.951,13.7,6.357521096,11.989,6.357521096,9.717275366,14.353,13.6,16.099,7.33,7.607,23.849,7.6,0.752,3.467532379,11.90869776,3.892,2.968,15.4,12.7,9.483322347,3.66,12.49022728,3.714,6.662048904,6.357521096,13.12,15.21,7.687,3.215,3.454,11.864,5.638393416,10.466,4.219,13.3,20.524,14.53,10.869,2.33,8.352,6.266603541,4.487,11.46,19.926,12.496,6.0
2000,7.422604875,7.955,4.610095622,16.502,19.023,12.52217018,2.25,15.0,11.097,6.288,4.694,11.78,3.145,6.586,0.865,2.681,3.27,16.218,1.138,7.235,25.473,12.171,10.808,2.442,10.892,9.35,5.532,1.652,15.88,5.546,6.829,12.41210949,2.658,5.357,10.491,3.26,4.835,7.534,3.224,19.854,20.52,4.402,13.116,5.08,11.52747811,5.45,4.766,8.764,7.917,26.862,4.476,6.432,29.77,3.419762586,7.150634671,3.5535743,10.89279904,9.775974445,4.8,8.98,9.503562017,5.724,13.785,13.36,3.502,9.823160242,5.962046032,11.135,4.705,10.218,17.827,5.558,10.82,10.456,4.591,9.639,3.576,8.033,11.345,2.605,15.32,11.901,7.14493572,4.92,3.881,5.130641589,16.064,8.441,6.563,6.527493104,6.149559722,4.456999044,3.755950786,6.078,4.766465217,7.856,4.318,11.699,8.095,1.936,11.102,10.834,6.807,13.7,4.748,12.75,2.876,1.873,0.746,4.063,0.8,9.166137507,2.057,8.594,2.035,19.168,16.49,9.453854418,4.651503066,5.044109151,7.74,6.287033933,5.805624798,16.143,5.262490995,15.931,2.345,14.211,6.874,13.58,8.539,5.8,1.97,12.04064495,2.646,5.862102672,32.2,1.347,6.324,0.731,13.07634101,30.249,5.985,2.831,9.903,9.132,5.034,3.0,4.275832391,20.3,17.986,1.426,3.87,7.188,2.725,3.458,10.622,6.13,6.763328896,4.396,10.36746485,0.597,6.322,4.965,3.77,2.92,16.314,5.179515666,10.08,3.147,3.806,7.61,10.625,4.363821788,6.529801168,11.608,0.87,6.969,10.581,11.805,6.795162604,4.57,14.869,2.648,3.7,2.402,4.081,6.96,18.781,12.6,6.344440246,12.205,6.344440246,9.819303644,14.4,12.975,18.546,6.92,5.466,24.518,9.589,0.792,3.423418716,11.16456347,4.151,2.389,14.972,11.75,9.536962953,3.596,13.09474711,4.12,6.795162604,6.344440246,12.1,14.94,6.495,3.127,3.52,11.707,5.586158907,12.627,3.992,12.286,20.792,13.99,10.469,2.26,8.321,6.131863477,4.732,11.561,19.841,12.93,5.682
2001,7.316976721,7.958,4.541772013,16.539,18.57,12.39031681,2.442,17.32,10.995,6.747,4.012,10.91,3.164,6.178,0.766,2.742,3.614,19.921,1.171,6.87,26.461,11.523,9.07,2.626,10.649,9.85,5.609,1.9,18.54,5.589,7.219,13.2204415,2.49,5.041,10.39,3.8,5.199,7.46,3.233,19.858,15.04,4.379,13.313,6.051,11.37445992,4.08,4.043,8.128,7.773,26.78,4.164,7.262,27.3,3.845306407,7.302236503,3.948720337,10.77848339,9.082946059,4.252,9.26,8.443018297,5.784,10.348,13.135,3.174,9.202803916,5.878165734,10.291,4.698,8.61,17.801,4.696,11.16,9.604,4.595,9.571,3.195,8.16,10.764,2.746,13.213,11.802,6.91493175,5.09,4.0,5.061331249,15.822,9.744,5.671,6.706910192,6.29146124,4.455761942,3.633280125,6.082,4.820941182,8.039,3.684,12.356,8.288,1.874,11.812,9.599,6.686,14.7,5.02,10.43,2.868,1.966,0.775,3.699,0.8,8.755201323,1.891,8.456,2.125,19.186,18.556,9.057420085,4.6917851,5.036084063,7.9,6.392019016,5.997797643,16.05,5.434643613,16.84,1.805,13.821,6.393,12.46,7.366,5.35,3.062,12.08193389,2.627,6.069877945,30.52,1.264,7.107,0.7,13.1329298,30.308,6.107,2.84,10.002,9.14,5.202,3.53,4.982141668,20.986,17.447,1.47,3.827,7.22,2.119,3.738,10.615,5.433,6.623254082,4.337,10.28975846,0.595,6.429,5.067,3.698,2.801,18.373,5.173112988,11.4,3.16,3.829,6.206,21.493,4.467791941,6.374062069,11.678,0.87,6.562,8.978,11.828,6.960491291,4.618,14.825,2.68,3.76,2.583,4.161,6.96,18.883,12.8,6.253478349,12.166,6.253478349,9.751299868,15.73,12.137,19.149,5.685,4.73,25.2,11.63,0.789,3.854455181,10.76176906,4.102,2.6,14.566,10.898,9.149289037,3.483,13.07523884,4.479,6.960491291,6.253478349,10.88,14.4,8.381,2.994,3.517,11.061,5.859213118,15.052,4.731,11.254,21.1,13.04,10.583,2.76,8.47,6.224805609,4.96,11.725,19.725,13.41,5.314
